Borský Mikuláš;Senica;Trnavský kraj;48.630895;17.214477
Borský Svätý Jur;Senica;Trnavský kraj;48.613659;17.04658
Borša;Trebišov;Košický kraj;48.394359;21.704159
Bory;Levice;Nitriansky kraj;48.180779;18.751732
Bošáca;Nové Mesto nad Váhom;Trenčiansky kraj;48.829012;17.840374
Bošany;Partizánske;Trenčiansky kraj;48.578825;18.248638
Bottovo;Rimavská Sobota;Banskobystrický kraj;48.31273;20.150144
Boťany;Trebišov;Košický kraj;48.62858;21.71954
Bôrka;Rožňava;Košický kraj;48.63241;20.76447
Bracovce;Michalovce;Košický kraj;48.646171;21.838992
Branč;Nitra;Nitriansky kraj;48.218694;18.144226
Branovo;Nové Zámky;Nitriansky kraj;47.98333;18.16667
Bratislava I;Bratislava;Bratislavský kraj;48.14816;17.10674
Bratislava II;Bratislava;Bratislavský kraj;48.14816;17.10674
Bratislava III;Bratislava;Bratislavský kraj;48.14816;17.10674
Bratislava IV;Bratislava;Bratislavský kraj;48.14816;17.10674
Bratislava V;Bratislava;Bratislavský kraj;48.14816;17.10674
Braväcovo;Brezno;Banskobystrický kraj;48.80431;19.63631
Brdárka;Rožňava;Košický kraj;48.766864;20.338936
Brehov;Trebišov;Košický kraj;48.483591;21.814993
Brehy;Žarnovica;Banskobystrický kraj;48.40701;18.651634
Brekov;Humenné;Prešovský kraj;48.906412;21.83606
Brestov;Humenné;Prešovský kraj;48.964072;21.889388
Brestov;Prešov;Prešovský kraj;48.964072;21.889388
Brestov nad Laborcom;Medzilaborce;Prešovský kraj;49.16667;21.25
Brestovany;Trnava;Trnavský kraj;48.388265;17.688061
Brestovec;Myjava;Trenčiansky kraj;48.79409;17.56628
Brestovec;Komárno;Nitriansky kraj;47.76667;18.13333
Bretejovce;Prešov;Prešovský kraj;48.82772;21.295718
Bretka;Rožňava;Košický kraj;48.488427;20.340895
Breza;Námestovo;Žilinský kraj;49.387609;19.384353
Brezany;Žilina;Žilinský kraj;49.18885;18.671501
Brezina;Trebišov;Košický kraj;48.548338;21.560487
Breziny;Zvolen;Banskobystrický kraj;48.515578;19.102693
Breznica;Stropkov;Prešovský kraj;49.161824;21.65821
Breznička;Poltár;Banskobystrický kraj;48.422257;19.735772
Breznička;Stropkov;Prešovský kraj;49.222977;21.703894
Brezno;Brezno;Banskobystrický kraj;48.8;19.75
Brezolupy;Bánovce nad Bebravou;Trenčiansky kraj;48.70132;18.299855
Brezov;Bardejov;Prešovský kraj;49.144166;21.492333
Brezová pod Bradlom;Myjava;Trenčiansky kraj;48.663495;17.539045
Brezovec;Snina;Prešovský kraj;48.936817;22.388831
Brezovica;Sabinov;Prešovský kraj;49.10308;21.0988
Brezovica;Tvrdošín;Žilinský kraj;49.341905;19.65255
